region,climate,moisture,soil_type,total
Central Africa,Warm Temperate,Moist,Sandy,-14.528528409736502
Eastern Africa,Boreal,Dry,Low Activity Clay,-14.556862639300272
Southern Africa,Tropical,Moist,Spodic,-14.5980368840473
Europe,Tropical,Wet,Wetland,-14.617801469384974
Western Africa,Warm Temperate,Moist,Spodic,-14.651292638794066
Eastern Asia,Boreal,Moist,Wetland,-14.73541137168601
Northern Africa,Cool Temperate,Moist,Volcanic,-14.8976336455133
Central Africa,Cool Temperate,Dry,Spodic,-14.912895340650376
Central Asia,Tropical,Wet,Wetland,-14.94228091300508
Central Asia,Boreal,Dry,High Activity Clay,-15.03877386609811
North America,Warm Temperate,Moist,Low Activity Clay,-15.349421245653028
Southern Africa,Warm Temperate,Moist,Spodic,-15.452236967323138
Northern Africa,Warm Temperate,Dry,Volcanic,-15.488610992176614
Western Africa,Boreal,Dry,Volcanic,-15.578028478787443
Northern Africa,Cool Temperate,Dry,Wetland,-15.583459723002694
North America,Cool Temperate,Moist,Volcanic,-15.602833641475513
Eastern Africa,Cool Temperate,Dry,Wetland,-15.610336219001017
Northern Africa,Cool Temperate,Moist,High Activity Clay,-15.679095412270446
Western Africa,Tropical,Moist,Spodic,-15.875688994737951
Western Africa,Cool Temperate,Dry,Wetland,-15.939628527050871
Western Africa,Boreal,Moist,Wetland,-15.99104845832969
Southern Africa,Boreal,Moist,Low Activity Clay,-16.138820572307097
Western Asia,Tropical Montane,Dry,High Activity Clay,-16.263101405969756
Central Africa,Tropical,Moist,Low Activity Clay,-16.348039107181453
Europe,Tropical Montane,Dry,Sandy,-16.40043609348999
Eastern Africa,Cool Temperate,Moist,Volcanic,-16.54421623689871
Central Africa,Boreal,Dry,Spodic,-16.646458511136174
Central Asia,Tropical,Dry,Sandy,-16.660768730104216
Central Asia,Boreal,Moist,Low Activity Clay,-16.74318215881246
Western Asia,Boreal,Moist,Sandy,-16.792108482232194
Western Asia,Tropical,Moist,Volcanic,-16.842270225610022
Southern Africa,Cool Temperate,Dry,Spodic,-16.858142109678635
Eastern Africa,Warm Temperate,Moist,Volcanic,-16.86817003463403
Central Asia,Cool Temperate,Dry,Low Activity Clay,-16.86972597684111
Western Africa,Tropical,Wet,High Activity Clay,-16.87430294622492
Central Asia,Warm Temperate,Moist,Wetland,-16.898150300466813
Western Asia,Cool Temperate,Dry,High Activity Clay,-17.046635968244047
Central Africa,Cool Temperate,Dry,Low Activity Clay,-17.205608698446028
Southern Africa,Tropical,Dry,Volcanic,-17.25714063183807
Western Africa,Warm Temperate,Moist,Volcanic,-17.268216756380443
Southern Africa,Cool Temperate,Dry,Wetland,-17.290658978026464
Oceania,Tropical Montane,Dry,Spodic,-17.292231707810043
Central Asia,Warm Temperate,Dry,Spodic,-17.302452245462856
Southern Africa,Boreal,Moist,Wetland,-17.304247893518735
Eastern Africa,Tropical,Wet,Sandy,-17.409630062241362
Western Africa,Tropical,Moist,Low Activity Clay,-17.633741194066694
Western Asia,Cool Temperate,Moist,Wetland,-17.63586444761176
Oceania,Cool Temperate,Moist,High Activity Clay,-17.917284069373984
Southern Africa,Tropical Montane,Dry,Sandy,-18.336157566084857
Europe,Warm Temperate,Dry,Sandy,-18.479014223220002
Europe,Tropical Montane,Dry,Volcanic,-18.483852978287985
Eastern Asia,Tropical,Dry,Spodic,-18.501046975143613
Central Asia,Boreal,Dry,Spodic,-18.734327007337583
Eastern Africa,Tropical Montane,Dry,Low Activity Clay,-18.77262058867715
Southern Africa,Boreal,Moist,High Activity Clay,-18.849762773123874
Eastern Africa,Tropical,Dry,High Activity Clay,-18.92584254311576
Central Asia,Tropical,Wet,Low Activity Clay,-18.989186391814982
Northern Africa,Tropical,Wet,Volcanic,-19.966092089851728
Europe,Warm Temperate,Moist,Wetland,-20.20282110382498
Western Africa,Tropical Montane,Dry,Wetland,-20.27316538934785
Eastern Africa,Cool Temperate,Dry,High Activity Clay,-20.449567093098327
Europe,Tropical,Wet,High Activity Clay,-20.518973274640004
Western Africa,Tropical,Dry,High Activity Clay,-20.901254984761202
Eastern Africa,Boreal,Dry,Sandy,-21.103008732441467
Eastern Asia,Cool Temperate,Moist,Sandy,-21.27384413046067
Eastern Asia,Warm Temperate,Dry,Low Activity Clay,-21.593461851012016
Central Asia,Boreal,Moist,Sandy,-21.911987990369262
Northern Africa,Tropical,Dry,High Activity Clay,-21.963086569192328
Central Africa,Cool Temperate,Moist,Volcanic,-22.15445518023962
Eastern Africa,Tropical,Wet,Low Activity Clay,-22.256664967690355
Western Africa,Boreal,Moist,Low Activity Clay,-22.673162214234633
Eastern Asia,Boreal,Dry,Volcanic,-23.132555699926236
Europe,Tropical,Dry,Sandy,-24.188243695649984
Oceania,Tropical,Dry,Wetland,-25.748810140338
Europe,Tropical,Dry,High Activity Clay,-31.868128928002484
North America,Tropical,Dry,Volcanic,-35.44829257141552
Europe,Tropical,Wet,Volcanic,-47.273058609089986
Eastern Asia,Warm Temperate,Dry,High Activity Clay,-53.22006066992966
