module_type,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Annual Cropland,French Polynesia,Warm Temperate,Moist,Spodic,1,-3.8455039958849992,-3.8455039958849992,-3.8455039958849992,-3.8455039958849992,-3.8455039958849992,-3.8455039958849992,-3.8455039958849992
Annual Cropland,Zimbabwe,Tropical,Wet,High Activity Clay,2,-3.8601735721798853,-1.9300867860899427,-1.9300867860899427,-2.6610887212850285,-1.1990848508948568,-2.6610887212850285,-1.1990848508948568
Annual Cropland,Canada,Warm Temperate,Dry,Sandy,1,-3.8634422911642785,-3.8634422911642785,-3.8634422911642785,-3.8634422911642785,-3.8634422911642785,-3.8634422911642785,-3.8634422911642785
Annual Cropland,Saudi Arabia,Tropical Montane,Dry,High Activity Clay,1,-3.866694560527202,-3.866694560527202,-3.866694560527202,-3.866694560527202,-3.866694560527202,-3.866694560527202,-3.866694560527202
Annual Cropland,Sri Lanka,Tropical Montane,Dry,Wetland,1,-3.868277995812841,-3.868277995812841,-3.868277995812841,-3.868277995812841,-3.868277995812841,-3.868277995812841,-3.868277995812841
Annual Cropland,Singapore,Boreal,Moist,Sandy,1,-3.872045395000846,-3.872045395000846,-3.872045395000846,-3.872045395000846,-3.872045395000846,-3.872045395000846,-3.872045395000846
Annual Cropland,Panama,Tropical,Dry,Wetland,1,-3.878383966743685,-3.878383966743685,-3.878383966743685,-3.878383966743685,-3.878383966743685,-3.878383966743685,-3.878383966743685
Annual Cropland,Tunisia,Boreal,Moist,Sandy,3,-3.8830165080480756,-1.2943388360160253,-1.9279478441402687,-4.222501621848001,2.2674329579401937,-4.222501621848001,2.2674329579401937
Annual Cropland,Syrian Arab Republic,Boreal,Dry,Wetland,1,-3.885426330830879,-3.885426330830879,-3.885426330830879,-3.885426330830879,-3.885426330830879,-3.885426330830879,-3.885426330830879
Annual Cropland,Russian Federation,Warm Temperate,Dry,High Activity Clay,1,-3.8964320370199332,-3.8964320370199332,-3.8964320370199332,-3.8964320370199332,-3.8964320370199332,-3.8964320370199332,-3.8964320370199332
Annual Cropland,Bhutan,Warm Temperate,Dry,High Activity Clay,2,-3.9006260073697625,-1.9503130036848813,-1.9503130036848813,-7.438671310941202,3.5380453035714394,-7.438671310941202,3.5380453035714394
Annual Cropland,South Africa,Cool Temperate,Moist,Wetland,1,-3.903608644682344,-3.903608644682344,-3.903608644682344,-3.903608644682344,-3.903608644682344,-3.903608644682344,-3.903608644682344
Annual Cropland,Azerbaijan,Tropical,Moist,Sandy,1,-3.9128075583991313,-3.9128075583991313,-3.9128075583991313,-3.9128075583991313,-3.9128075583991313,-3.9128075583991313,-3.9128075583991313
Annual Cropland,United States Minor Outlying Islands,Cool Temperate,Dry,Low Activity Clay,1,-3.915369497787,-3.915369497787,-3.915369497787,-3.915369497787,-3.915369497787,-3.915369497787,-3.915369497787
Annual Cropland,Seychelles,Cool Temperate,Moist,Volcanic,1,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993
Annual Cropland,Kenya,Cool Temperate,Moist,Wetland,1,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993,-3.9206528612999993
Annual Cropland,Antigua And Barbuda,Cool Temperate,Dry,Volcanic,1,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998
Annual Cropland,British Virgin Islands,Cool Temperate,Moist,Low Activity Clay,1,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998
Annual Cropland,Aruba,Tropical Montane,Dry,Volcanic,1,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998,-3.921554956983998
Annual Cropland,Honduras,Boreal,Moist,Sandy,2,-3.9321214066063583,-1.9660607033031792,-1.9660607033031792,-6.12218400794468,2.190062601338322,-6.12218400794468,2.190062601338322
Annual Cropland,United States Of America,Warm Temperate,Dry,Volcanic,1,-3.960676577015731,-3.960676577015731,-3.960676577015731,-3.960676577015731,-3.960676577015731,-3.960676577015731,-3.960676577015731
Annual Cropland,﻿Afghanistan,Warm Temperate,Moist,Sandy,1,-3.962362355455462,-3.962362355455462,-3.962362355455462,-3.962362355455462,-3.962362355455462,-3.962362355455462,-3.962362355455462
Annual Cropland,India,Tropical,Moist,High Activity Clay,1,-3.962362355455462,-3.962362355455462,-3.962362355455462,-3.962362355455462,-3.962362355455462,-3.962362355455462,-3.962362355455462
Annual Cropland,Qatar,Tropical,Dry,High Activity Clay,1,-3.9737314747133983,-3.9737314747133983,-3.9737314747133983,-3.9737314747133983,-3.9737314747133983,-3.9737314747133983,-3.9737314747133983
Annual Cropland,Sudan,Boreal,Dry,Sandy,2,-3.98427588037675,-1.992137940188375,-1.992137940188375,-3.0690324824320014,-0.9152433979447485,-3.0690324824320014,-0.9152433979447485
Annual Cropland,Botswana,Cool Temperate,Moist,Low Activity Clay,1,-3.9943902410703056,-3.9943902410703056,-3.9943902410703056,-3.9943902410703056,-3.9943902410703056,-3.9943902410703056,-3.9943902410703056
Annual Cropland,Turkey,Warm Temperate,Moist,Wetland,1,-3.9978685922773733,-3.9978685922773733,-3.9978685922773733,-3.9978685922773733,-3.9978685922773733,-3.9978685922773733,-3.9978685922773733
Annual Cropland,Zambia,Tropical,Moist,Sandy,1,-4.001828212452001,-4.001828212452001,-4.001828212452001,-4.001828212452001,-4.001828212452001,-4.001828212452001,-4.001828212452001
Annual Cropland,Norfolk Island,Tropical,Wet,Low Activity Clay,1,-4.004355168191251,-4.004355168191251,-4.004355168191251,-4.004355168191251,-4.004355168191251,-4.004355168191251,-4.004355168191251
Annual Cropland,Madagascar,Cool Temperate,Moist,Sandy,1,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044
Annual Cropland,Mayotte,Warm Temperate,Dry,Wetland,1,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044
Annual Cropland,Réunion,Tropical,Moist,Volcanic,1,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044,-4.00777848044
Annual Cropland,Sark,Tropical,Dry,High Activity Clay,1,-4.0124846456022984,-4.0124846456022984,-4.0124846456022984,-4.0124846456022984,-4.0124846456022984,-4.0124846456022984,-4.0124846456022984
Annual Cropland,Saint Kitts And Nevis,Warm Temperate,Dry,Volcanic,1,-4.012753909471998,-4.012753909471998,-4.012753909471998,-4.012753909471998,-4.012753909471998,-4.012753909471998,-4.012753909471998
Annual Cropland,Saint Martin (French Part),Tropical,Dry,Sandy,1,-4.01976078589052,-4.01976078589052,-4.01976078589052,-4.01976078589052,-4.01976078589052,-4.01976078589052,-4.01976078589052
Annual Cropland,Western Sahara,Tropical Montane,Dry,Sandy,1,-4.034834883099201,-4.034834883099201,-4.034834883099201,-4.034834883099201,-4.034834883099201,-4.034834883099201,-4.034834883099201
