module_type,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Livestock,South-Eastern Asia,Boreal,Moist,Sandy,11,13.942471556470668,1.2674974142246063,1.1738728361363862,-19.539209562272816,25.35806321417894,-6.509330257840351,7.312264108594849
Livestock,Oceania,Tropical,Moist,Volcanic,10,13.842054171528666,1.3842054171528666,1.078199101873274,-21.37402754589706,22.900743799175423,-6.518159698250851,10.014496161466848
Livestock,Eastern Asia,Cool Temperate,Moist,Low Activity Clay,10,13.728005641434176,1.3728005641434176,3.037693611834698,-19.166620116123234,21.79694649800042,-4.779632779267306,6.569923525186957
Livestock,Oceania,Boreal,Dry,Spodic,10,13.686408333960664,1.3686408333960665,3.6656790985662147,-18.983702680737295,19.354856392069255,-5.116206977118315,9.470545017042724
Livestock,South-Eastern Asia,Cool Temperate,Moist,High Activity Clay,11,13.514297496788197,1.2285724997080179,1.2785678155406364,-22.271050667286517,21.7761384302357,-7.215356845878709,7.808385608106899
Livestock,Europe,Tropical Montane,Dry,Wetland,7,13.251337168004987,1.8930481668578554,-2.503257433559998,-19.995808139999987,20.904708509999985,-3.7836938625750034,19.08690776999999
Livestock,North America,Boreal,Moist,Volcanic,7,13.113464250705022,1.873352035815003,-0.28972859916000004,-16.101757116899996,21.87976859932501,-13.226443346025004,20.94871461637501
Livestock,South-Eastern Asia,Tropical Montane,Dry,Spodic,11,13.061175109222727,1.1873795553838844,1.327322863429651,-19.200170664573502,20.800257410701935,-6.59176622844523,7.366225189067614
Livestock,North America,Tropical,Moist,Spodic,7,12.94455646672502,1.8492223523892886,-0.7000589010799995,-45.94932575415,50.32545201645001,-39.642555552599994,49.23142045087501
Livestock,Oceania,Boreal,Moist,Low Activity Clay,8,12.87984354207875,1.6099804427598436,3.5788482358527185,-20.415805186065864,20.776346837915263,-0.9389673326743295,16.759186760160347
Livestock,South-Eastern Asia,Boreal,Moist,High Activity Clay,11,12.807499707226848,1.1643181552024406,1.0029878326293973,-20.73379762254408,20.415805186065864,-5.330044812023195,9.929822393914849
Livestock,Central America,Tropical,Wet,Volcanic,11,12.657647840644263,1.1506952582403875,0.0709078685150285,-25.093355138036998,31.39326091374427,-8.471022700212892,11.203546596573847
Livestock,South-Eastern Asia,Cool Temperate,Moist,Spodic,11,12.26657650286542,1.1151433184423107,0.9176271660226403,-19.14624244475037,21.312569909155968,-5.360218755950116,8.753599841421273
Livestock,North America,Warm Temperate,Dry,Low Activity Clay,8,12.14969760345801,1.5187122004322513,-0.0454034588699998,-31.34279666700002,38.05911023850001,-0.5206263283759998,29.94978348180002
Livestock,Eastern Asia,Tropical,Dry,Volcanic,11,12.089776247946993,1.099070567995181,1.3484902379799715,-18.062133757371473,22.87627988078494,-7.050758086016677,6.171015192587024
Livestock,South-Eastern Asia,Tropical,Dry,High Activity Clay,11,11.983143684433095,1.0893766985848268,1.6408615244945952,-18.472636797311733,21.411271565999492,-5.890514502014886,6.954669842519948
Livestock,Oceania,Tropical,Wet,Low Activity Clay,11,11.953749473307601,1.0867044975734184,1.2015341852796964,-24.077746107497294,27.730486375076936,-6.6303338448478755,7.964529404719802
Livestock,North America,Tropical,Moist,Sandy,7,11.657979710782534,1.6654256729689334,-0.5494648351499998,-39.96432954247497,48.137388885300005,-33.78626893687498,37.80844381031248
Livestock,Europe,Tropical,Moist,Sandy,7,11.576800938497993,1.6538287054997132,-3.819072238379997,-18.77495759999999,23.602803839999996,-10.746738331631995,21.854447999999984
Livestock,Oceania,Cool Temperate,Moist,Volcanic,11,11.567592015403907,1.0515992741276279,1.3136196023430988,-17.91662315202824,20.828193320311513,-6.357950484402201,8.249139827256542
Livestock,Oceania,Warm Temperate,Dry,Low Activity Clay,11,11.542667615847158,1.0493334196224688,0.9564117437821296,-21.8499328960918,20.737507207355236,-7.011337772982723,7.679084227552507
Livestock,South-Eastern Asia,Tropical,Moist,Wetland,11,11.438339375454913,1.0398490341322648,1.1575394419508436,-23.936078891097324,23.936078891097328,-8.765494109123274,6.7893773038223
Livestock,Oceania,Warm Temperate,Moist,Low Activity Clay,11,11.421512540825722,1.0383193218932474,1.346493335764742,-28.51553839417291,23.352110988467327,-6.365490848436201,10.439822176730617
Livestock,South-Eastern Asia,Warm Temperate,Moist,Low Activity Clay,11,11.226091264423207,1.0205537513112006,1.2664177227830706,-20.091195210124177,23.352110988467327,-6.595754148230474,8.11536870993705
Livestock,South-Eastern Asia,Boreal,Dry,Wetland,11,11.150145045886065,1.0136495496260058,1.1931933798683494,-20.74962851150356,20.766925748517956,-5.073787129747613,9.470545017042724
Livestock,Oceania,Tropical Montane,Dry,Low Activity Clay,10,10.878571278133181,1.0878571278133182,2.9933145105537675,-19.9130781819873,17.15759931727845,-7.050758086016677,9.551369976978723
Livestock,Europe,Cool Temperate,Dry,High Activity Clay,6,10.854559043355,1.8090931738925,1.1187728863574988,-8.39561247,9.195194609999998,-1.0493636718600003,8.866794802500005
Livestock,South-Eastern Asia,Cool Temperate,Dry,Wetland,11,10.84261709764307,0.9856924634220973,1.2959670358384212,-21.755935876929936,26.69283233390608,-6.884705175418084,7.197646319755269
Livestock,Eastern Asia,Warm Temperate,Moist,Spodic,11,10.616176056273892,0.9651069142067175,1.1380302038133443,-20.032453596160316,21.526280582275906,-5.336328448718195,8.11536870993705
Livestock,Eastern Africa,Warm Temperate,Dry,High Activity Clay,12,10.580023581581052,0.881668631798421,2.72671202775668,-17.715845250739495,11.722407332926498,-5.691473256550725,9.18476435524997
Livestock,South-Eastern Asia,Cool Temperate,Dry,Spodic,11,10.486683028144087,0.9533348207403716,1.1413154068305948,-20.86102949517796,26.69283233390608,-6.341291838583385,6.971966653782723
Livestock,Oceania,Boreal,Dry,Wetland,10,10.45377765894941,1.045377765894941,3.615960543144722,-18.54222122304573,17.956515247014494,-6.302709878560593,6.341291838583385
Livestock,Oceania,Boreal,Moist,Sandy,10,10.437777917706155,1.0437777917706155,1.4158647502500061,-16.030526466240328,18.292025973191567,-6.419624132184807,5.113849350301473
Livestock,Eastern Asia,Boreal,Moist,Volcanic,9,10.372162339084579,1.1524624821205087,0.9176271660226403,-20.776346837915263,27.716952815497912,-8.182712895241627,10.606855738954499
Livestock,Caribbean,Boreal,Moist,Wetland,11,10.370161297761726,0.9427419361601569,0.3875415350355779,-24.62247068136757,30.100250939242564,-8.082226045695936,7.77878817557184
Livestock,Oceania,Tropical,Moist,High Activity Clay,9,10.353875724432754,1.1504306360480838,1.630110491870678,-20.567256000311676,21.056952571747672,-6.049381966394126,6.494186986264807
Livestock,North America,Warm Temperate,Moist,Volcanic,7,10.231492769891979,1.4616418242702827,-0.4016961367649997,-24.650180100000018,34.322441244,-22.18516209,23.171169294
Livestock,Eastern Asia,Tropical,Wet,High Activity Clay,10,10.199364475204007,1.0199364475204007,3.137095495689355,-23.784302457314585,20.66196259097558,-6.768768897248956,7.14119039547117
Livestock,Oceania,Tropical,Dry,Volcanic,10,10.026796764730236,1.0026796764730235,3.0189308006688416,-26.309786794678885,19.549421864608227,-6.030764847300956,10.006197118739614
Livestock,Eastern Asia,Tropical,Wet,Low Activity Clay,9,9.945111875067324,1.105012430563036,1.1214319062610503,-18.07087662085391,17.432559029751037,-5.236369008104928,6.994872212431108
Livestock,South-Eastern Asia,Tropical,Moist,High Activity Clay,11,9.936325324858407,0.9033023022598552,1.006607851343519,-20.044207106193234,22.303085115114353,-7.382220649622767,7.225152125162709
Livestock,Central America,Cool Temperate,Moist,Spodic,11,9.896654005283018,0.8996958186620926,0.06616696196838502,-23.24447113180856,27.538527455051703,-9.582022724322773,10.25053593764762
