module,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Grassland,Southern Africa,Boreal,Moist,Volcanic,496,304.1717458922632,0.6132494876860145,0.017441770500000064,-43.28152033406668,46.093554237630954,-16.209681963566666,17.624897234895244
Grassland,Central America,Boreal,Moist,Volcanic,496,303.9711086565882,0.6128449771302182,0.0,-43.15263580136666,46.15757080335239,-16.291550619666673,17.431493093666663
Grassland,South-Eastern Asia,Boreal,Moist,Volcanic,496,303.670837877084,0.612239592494121,0.0255166642500001,-43.18937426081667,46.23590875147618,-16.209681963566666,17.443280870819045
Grassland,South America,Boreal,Moist,Volcanic,496,303.1613048197972,0.6112123081044298,-0.04315223219999986,-43.41143845316667,46.15757080335239,-16.218079853066666,17.431493093666663
Grassland,Eastern Asia,Boreal,Moist,Volcanic,496,303.13942660458486,0.6111681987995662,0.017441770499999953,-43.324826373766676,46.00922708363493,-16.218079853066666,17.404872706571417
Grassland,North America,Boreal,Moist,Volcanic,496,303.1062458317498,0.6111013020801407,-0.03488354100000002,-43.324826373766676,46.42791091643197,-16.23642601166667,17.395917529646262
Grassland,Southern Asia,Boreal,Moist,Volcanic,496,302.19604989062674,0.6092662296181991,0.017441770499999953,-43.19877189906667,46.55612951256667,-16.209681963566666,17.269407670742847
Grassland,Northern Africa,Boreal,Moist,Volcanic,496,302.01201300710085,0.6088951875143163,0.0,-43.28152033406668,46.23590875147618,-16.131775388666668,17.384364260816664
Grassland,Western Africa,Boreal,Moist,Volcanic,496,300.0180960612553,0.6048751936718857,0.0,-43.00568196356668,46.28341619366667,-16.255018262266667,17.39214407647619
Grassland,Europe,Boreal,Moist,Volcanic,496,299.96484021087207,0.6047678230057905,0.017441770499999953,-43.368132413466675,45.91963997080953,-16.328895080666666,17.404872706571417
Grassland,Caribbean,Boreal,Moist,Volcanic,496,299.3475648476903,0.6035233162251821,0.0,-43.08755061966667,45.87931003477381,-16.13489127799999,17.379313838857126
Grassland,Oceania,Boreal,Moist,Volcanic,496,299.27370539254036,0.6033744060333475,0.017441770499999953,-43.45474449286666,46.170367164727885,-16.217692258166664,17.29740448477381
Grassland,Central Africa,Boreal,Moist,Volcanic,496,297.8146349829462,0.600432731820456,0.0,-43.324826373766676,46.20777723581904,-16.20154247066667,17.310833572999982
Grassland,Central Asia,Boreal,Moist,Volcanic,496,297.3453830995668,0.5994866594749331,-0.03895328745000004,-43.49805053256667,46.170367164727885,-16.209681963566666,17.48451189906666
Grassland,Central Africa,Tropical,Dry,Low Activity Clay,496,284.26895412744335,0.5731228913859745,0.0,-44.17023535393332,46.83684912133334,-16.511316402533343,18.06169649271427
