id,climate,land_use_type,region,forest_condition_type,from_year,forest_type,agb_min,agb_max,agb_growth_min,agb_growth_max,agb_unit,agb_min_min,agb_max_max,agb_growth_min_min,agb_growth_max_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 4.7, 4.8, 4.9, 4.10, 4.12; 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, tables 4.12."
9949,Tropical,Rainforest,South-Eastern Asia,Secondary,0,Plantation,6.345,75.67,0.94,3.76,tC/ha,-4.743040604,93.62526283,1.60686475,3.347020561,
9950,Tropical,Rainforest,Southern Asia,Secondary,0,Natural,21.432,21.432,1.598,1.598,tC/ha,11.75,31.114,-0.235,3.431,
9951,Tropical,Rainforest,Southern Asia,Secondary,0,Plantation,6.345,75.67,0.94,3.76,tC/ha,-4.743040604,93.62526283,1.60686475,3.347020561,
9952,Tropical,Rainforest,Western Asia,Secondary,0,Natural,21.432,21.432,1.598,1.598,tC/ha,11.75,31.114,-0.235,3.431,
9953,Tropical,Rainforest,Western Asia,Secondary,0,Plantation,6.345,75.67,0.94,3.76,tC/ha,-4.743040604,93.62526283,1.60686475,3.347020561,
9954,Tropical,Rainforest,Europe,Primary,0,Natural,141,141,3.29,3.29,tC/ha,N/A,N/A,N/A,N/A,
9955,Tropical,Rainforest,Europe,Secondary,21,Natural,141,141,3.29,3.29,tC/ha,N/A,N/A,N/A,N/A,
9956,Tropical,Rainforest,Europe,Secondary,21,Plantation,70.5,70.5,7.05,7.05,tC/ha,N/A,N/A,N/A,N/A,
9957,Tropical,Rainforest,Europe,Secondary,0,Natural,141,141,3.29,3.29,tC/ha,N/A,N/A,N/A,N/A,
9958,Tropical,Rainforest,Europe,Secondary,0,Plantation,70.5,70.5,7.05,7.05,tC/ha,N/A,N/A,N/A,N/A,
