id,climate,moisture,peat_type,module_type,co2,co2_unit,doc,doc_unit,ch4,ch4_unit,n2o,n2o_unit,co2_min,co2_max,doc_min,doc_max,ch4_min,ch4_max,n2o_min,n2o_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 3.1, 3.2, 3.3."
229,Tropical,Wet,Nutrient Rich,(6) Flooded Rice (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
230,Tropical Montane,Dry,Nutrient Rich,(6) Flooded Rice (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
231,Boreal,Dry,Nutrient Rich,(7) Grassland (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
232,Boreal,Moist,Nutrient Rich,(7) Grassland (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
233,Cool Temperate,Dry,Nutrient Rich,(7) Grassland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
234,Cool Temperate,Moist,Nutrient Rich,(7) Grassland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
235,Warm Temperate,Dry,Nutrient Rich,(7) Grassland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
236,Warm Temperate,Moist,Nutrient Rich,(7) Grassland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
237,Tropical,Dry,Nutrient Rich,(7) Grassland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
238,Tropical,Moist,Nutrient Rich,(7) Grassland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
239,Tropical,Wet,Nutrient Rich,(7) Grassland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
240,Tropical Montane,Dry,Nutrient Rich,(7) Grassland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
241,Boreal,Dry,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
242,Boreal,Moist,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
243,Cool Temperate,Dry,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
244,Cool Temperate,Moist,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
245,Warm Temperate,Dry,Nutrient Rich,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
