id,ipcc_region,livestock_production_type,livestock_category_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 10.10, 10.11;  IPCC 2006, Section 10.3.4, p. 10.4; Wang, S.-Y. & Huang, D.-J. 2005. Assessment of Greenhouse Gas Emissions from Poultry Enteric Fermentation. Asian-Australasian Journal of Animal Sciences, 18(6): 873–878. https://doi.org/10.5713/ajas.2005.873."
1144,Oceania,High-Productivity,Dairy Sheep,9,6.3,11.7,
1145,Oceania,High-Productivity,Other Sheep,9,6.3,11.7,
1146,Oceania,High-Productivity,Growing Swine,1.5,1.05,1.95,
1147,Oceania,High-Productivity,Breeding Swine,1.5,1.05,1.95,
1148,Oceania,High-Productivity,Goats,9,6.3,11.7,
1149,Oceania,High-Productivity,Horses,18,12.6,23.4,
1150,Oceania,High-Productivity,Camels,46,32.2,59.8,
1151,Oceania,High-Productivity,Mules And Asses,10,7,13,
1152,Oceania,High-Productivity,Deer,20,14,26,
1153,Oceania,High-Productivity,Ostrich,5,3.5,6.5,
1154,Oceania,High-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1155,Oceania,High-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1156,Oceania,High-Productivity,Llamas And Alpacas,8,5.6,10.4,
1157,NENA/Middle East,High-Productivity,Dairy Cattle,94,65.8,122.2,
1158,NENA/Middle East,High-Productivity,Other Cattle,61,42.7,79.3,
1159,NENA/Middle East,High-Productivity,Dairy Buffalo,67,46.9,87.1,
1160,NENA/Middle East,High-Productivity,Other Buffalo,67,46.9,87.1,
1161,NENA/Middle East,High-Productivity,Dairy Sheep,9,6.3,11.7,
1162,NENA/Middle East,High-Productivity,Other Sheep,9,6.3,11.7,
1163,NENA/Middle East,High-Productivity,Growing Swine,1.5,1.05,1.95,
1164,NENA/Middle East,High-Productivity,Breeding Swine,1.5,1.05,1.95,
1165,NENA/Middle East,High-Productivity,Goats,9,6.3,11.7,
1166,NENA/Middle East,High-Productivity,Horses,18,12.6,23.4,
1167,NENA/Middle East,High-Productivity,Camels,46,32.2,59.8,
1168,NENA/Middle East,High-Productivity,Mules And Asses,10,7,13,
1169,NENA/Middle East,High-Productivity,Deer,20,14,26,
1170,NENA/Middle East,High-Productivity,Ostrich,5,3.5,6.5,
1171,NENA/Middle East,High-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1172,NENA/Middle East,High-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1173,NENA/Middle East,High-Productivity,Llamas And Alpacas,8,5.6,10.4,
1174,South Asia,High-Productivity,Dairy Cattle,70,49,91,
1175,South Asia,High-Productivity,Other Cattle,41,28.7,53.3,
1176,South Asia,High-Productivity,Dairy Buffalo,85,59.5,110.5,
1177,South Asia,High-Productivity,Other Buffalo,85,59.5,110.5,
1178,South Asia,High-Productivity,Dairy Sheep,9,6.3,11.7,
1179,South Asia,High-Productivity,Other Sheep,9,6.3,11.7,
1180,South Asia,High-Productivity,Growing Swine,1.5,1.05,1.95,
1181,South Asia,High-Productivity,Breeding Swine,1.5,1.05,1.95,
