id,climate,moisture,continent,land_use_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.2, 5.3.",,,,,,,,,,,,
13603,Cool Temperate,Moist,Western Africa,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13604,Cool Temperate,Moist,Western Africa,Silvoarable,1.12,0.4256,1.8144,,,,,,,,,,,,,
13605,Cool Temperate,Moist,Western Africa,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13606,Cool Temperate,Moist,Western Africa,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13607,Cool Temperate,Moist,Western Africa,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13608,Cool Temperate,Moist,Western Africa,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13609,Cool Temperate,Moist,Western Africa,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13610,Cool Temperate,Moist,Western Africa,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13611,Cool Temperate,Moist,Central Asia,Agroforestry - Default,1.883333333,0.470833333,3.295833333,,,,,,,,,,,,,
13612,Cool Temperate,Moist,Central Asia,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13613,Cool Temperate,Moist,Central Asia,Silvoarable,2.97,0.7425,5.1975,,,,,,,,,,,,,
13614,Cool Temperate,Moist,Central Asia,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13615,Cool Temperate,Moist,Central Asia,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13616,Cool Temperate,Moist,Central Asia,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13617,Cool Temperate,Moist,Central Asia,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13618,Cool Temperate,Moist,Central Asia,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13619,Cool Temperate,Moist,Central Asia,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13620,Cool Temperate,Moist,Eastern Asia,Agroforestry - Default,1.883333333,0.470833333,3.295833333,,,,,,,,,,,,,
13621,Cool Temperate,Moist,Eastern Asia,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13622,Cool Temperate,Moist,Eastern Asia,Silvoarable,2.97,0.7425,5.1975,,,,,,,,,,,,,
13623,Cool Temperate,Moist,Eastern Asia,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13624,Cool Temperate,Moist,Eastern Asia,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13625,Cool Temperate,Moist,Eastern Asia,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13626,Cool Temperate,Moist,Eastern Asia,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
