id,climate,region,forest_type,land_use_type,threshold,value,threshold_min,threshold_max,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 4.4."
307,Tropical,Europe,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
308,Tropical,Oceania,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
309,Tropical,North America,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
310,Tropical,South America,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
311,Tropical,Central America,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
312,Tropical,Caribbean,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
313,Tropical,Central Africa,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
314,Tropical,Northern Africa,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
315,Tropical,Southern Africa,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
316,Tropical,Western Africa,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
317,Tropical,Central Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
318,Tropical,Eastern Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
319,Tropical,South-Eastern Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
320,Tropical,Southern Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
321,Tropical,Western Asia,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
322,Tropical,Europe,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
323,Tropical,Oceania,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
324,Tropical,North America,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
325,Tropical,South America,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
326,Tropical,Central America,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
327,Tropical,Caribbean,Plantation,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
328,Tropical,Central Africa,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
329,Tropical,Northern Africa,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
330,Tropical,Southern Africa,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
331,Tropical,Western Africa,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
332,Tropical,Central Asia,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
333,Tropical,Eastern Asia,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
334,Tropical,South-Eastern Asia,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
335,Tropical,Southern Asia,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
336,Tropical,Western Asia,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
337,Tropical,Europe,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
338,Tropical,Oceania,Plantation,Shrubland,125,0.4,N/A,N/A,#N/A,#N/A,
339,Tropical,North America,Plantation,Shrubland,125,2.158,N/A,N/A,0.2158,4.1002,
340,Tropical,South America,Plantation,Shrubland,125,2.158,N/A,N/A,0.2158,4.1002,
341,Tropical,Central America,Plantation,Shrubland,125,2.158,N/A,N/A,0.2158,4.1002,
342,Tropical,Caribbean,Plantation,Shrubland,125,2.158,N/A,N/A,0.2158,4.1002,
343,Warm Temperate,Central Africa,Natural,Humid Forest,125,0.232,N/A,N/A,0.0232,0.4408,
344,Warm Temperate,Northern Africa,Natural,Humid Forest,125,0.232,N/A,N/A,0.0232,0.4408,
345,Warm Temperate,Southern Africa,Natural,Humid Forest,125,0.232,N/A,N/A,0.0232,0.4408,
346,Warm Temperate,Western Africa,Natural,Humid Forest,125,0.232,N/A,N/A,0.0232,0.4408,
347,Warm Temperate,Central Asia,Natural,Humid Forest,125,0.23,N/A,N/A,0.023,0.437,
348,Warm Temperate,Eastern Asia,Natural,Humid Forest,125,0.23,N/A,N/A,0.023,0.437,
349,Warm Temperate,South-Eastern Asia,Natural,Humid Forest,125,0.23,N/A,N/A,0.023,0.437,
350,Warm Temperate,Southern Asia,Natural,Humid Forest,125,0.23,N/A,N/A,0.023,0.437,
351,Warm Temperate,Western Asia,Natural,Humid Forest,125,0.23,N/A,N/A,0.023,0.437,
352,Warm Temperate,Europe,Natural,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
353,Warm Temperate,Oceania,Natural,Humid Forest,125,0.2,N/A,N/A,0.09,0.25,
354,Warm Temperate,North America,Natural,Humid Forest,125,0.175,N/A,N/A,0.0175,0.3325,
355,Warm Temperate,South America,Natural,Humid Forest,125,0.175,N/A,N/A,0.0175,0.3325,
356,Warm Temperate,Central America,Natural,Humid Forest,125,0.175,N/A,N/A,0.0175,0.3325,
357,Warm Temperate,Caribbean,Natural,Humid Forest,125,0.175,N/A,N/A,0.0175,0.3325,
358,Warm Temperate,Central Africa,Natural,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
359,Warm Temperate,Northern Africa,Natural,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
360,Warm Temperate,Southern Africa,Natural,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
