country;region;operating_margin;combined_margin;;;
Sint Maarten (Dutch part);Caribbean;0,736;0,398;;;
Slovakia;Europe;1,029;0,565;;;
Slovenia;Europe;0,068;0,025;;;
Solomon Islands;Oceania;0,048;0,02;;;
Somalia;Eastern Africa;0,713;0,546;;;
South Africa;Southern Africa;0,484;0,331;;;
South Georgia and the South Sandwich Islands;South America;0,255;0,106;;;
South Sudan;Eastern Africa;0,531;0,336;;;
Spain;Europe;0,45;0,351;;;
Sri Lanka;Southern Asia;0,753;0,589;;;
State of Palestine;Western Asia;0,859;0,597;;;
Sudan;Northern Africa;0,753;0,533;;;
Suriname;South America;0,559;0,37;;;
Svalbard and Jan Mayen Islands;Europe;0,468;0,348;;;
Sweden;Europe;0,376;0,309;;;
Switzerland;Europe;0,927;0,676;;;
Syrian Arab Republic;Western Asia;0,753;0,451;;;
Tajikistan;Central Asia;0,753;0,497;;;
Thailand;South-eastern Asia;0,279;0,116;;;
Timor-Leste;South-eastern Asia;0,768;0,435;;;
Togo;Western Africa;0,556;0,31;;;
Tokelau;Oceania;0,38;0,219;;;
Tonga;Oceania;0,416;0,246;;;
Trinidad and Tobago;Caribbean;0,174;0,065;;;
Tunisia;Northern Africa;0,612;0,467;;;
Turkey;Western Asia;0,753;0,504;;;
Turkmenistan;Central Asia;0,711;0,368;;;
Turks and Caicos Islands;Caribbean;0,56;0,381;;;
Tuvalu;Oceania;0,65;0,373;;;
Uganda;Eastern Africa;0,807;0,615;;;
Ukraine;Europe;0,416;0,197;;;
United Arab Emirates;Western Asia;1,575;0,88;;;
United Kingdom of Great Britain and Northern Ireland;Europe;0,380371224;0,186504518;;;
United Republic of Tanzania;Eastern Africa;0,530539949;0,336049804;;;
United States Minor Outlying Islands;Oceania;0;0,451026724;;;
United States of America;North America;0,416428367;0,219616139;;;
United States Virgin Islands;Caribbean;0,650305724;0,373014926;;;
Uruguay;South America;0,173958377;0,064828544;;;
Uzbekistan;Central Asia;0,612283327;0,467372791;;;
Vanuatu;Oceania;0,752533333;0,504180727;;;
Venezuela;South America;0,710920391;0,367752189;;;
Viet Nam;South-eastern Asia;0,560441061;0,380807998;;;
Wallis and Futuna Islands;Oceania;0;0,451026724;;;
Western Sahara;Northern Africa;0;0,431564577;;;
Yemen;Western Asia;1;0,614562133;;;
Zambia;Eastern Africa;0,416408603;0,196991307;;;
Zimbabwe;Eastern Africa;1,575300785;0,880253596;;;
