continent;land_use_type;2016;2017;2018;2019;2020
Southern Africa;Vegetables;181392;182255;177241;178239;180073
Southern Africa;Oilseeds;15490;15331,25;15831,25;15689;19147,75
Southern Asia;Grains;30990;31731;32732;33524;32950
Southern Asia;Beans & Pulses;5981;6809;7325;6983;7085
Southern Asia;Root Crops;199816;210606;226052;222742;228012
Southern Asia;Barley;20872;18140;17914;19046;19457
Southern Asia;Maize;29916;30649;34393;35826;36130
Southern Asia;Oats;0;0;0;0;0
Southern Asia;Potatoes;205436;217999;231402;226325;232426
Southern Asia;Soybeans;11871;11849;10697;12018;9398
Southern Asia;Wheat;28566;29342;30239;30611;30364
Southern Asia;Millet;11380;12398;12374;11842;12662
Southern Asia;Sorghum;6926;8029;9404;8378;8645
Southern Asia;Rice;39316;39865;40281;41128;40533
Southern Asia;Rye;8984;9286;8983;9087;9108
Southern Asia;Groundnuts;13987;13932;18753;14171;16189
Southern Asia;Vegetables;148179;149631;151340;152981;154181
Southern Asia;Oilseeds;8866,9;9317,3;10181,7;9783,7;9666,5
Western Africa;Grains;12426;12079;12536;12900;13083
Western Africa;Beans & Pulses;5833;5533;5871;5972;6157
Western Africa;Root Crops;85882;83545;81847;80109;81051
Western Africa;Barley;29184;29737;30660;30599;31080
Western Africa;Maize;16593;17141;17256;16940;17303
Western Africa;Oats;8913;9111;9091;8889;9111
Western Africa;Potatoes;51466;53384;56040;56937;59357
Western Africa;Soybeans;9388;9563;10333;10841;10679
Western Africa;Wheat;16082;14551;14540;12376;16754
Western Africa;Millet;6897;6625;7440;7050;7400
Western Africa;Sorghum;9907;9053;9602;9541;9732
Western Africa;Rice;17996;17123;17058;19137;19235
Western Africa;Rye;0;0;0;0;0
Western Africa;Groundnuts;10317;10443;11182;10753;10608
Western Africa;Vegetables;48847;48915;46126;47430;47614
Western Africa;Oilseeds;8211,75;8129,5;8394;8513,75;8601,5
Western Asia;Grains;27752;28504;27189;29012;29145
Western Asia;Beans & Pulses;14414;14225;13435;13429;15134
Western Asia;Root Crops;256664;262008;258523;275279;278170
Western Asia;Barley;20778;23011;20540;23686;22121
Western Asia;Maize;78180;77120;81048;77847;78295
Western Asia;Oats;22436;21777;24070;23620;26771
Western Asia;Potatoes;257386;262787;259475;276208;279162
Western Asia;Soybeans;41962;41914;41733;41270;42146
Western Asia;Wheat;26738;26980;25929;27637;28691
Western Asia;Millet;6298;6514;6491;7010;5971
Western Asia;Sorghum;9735;9882;9591;11294;14459
Western Asia;Rice;70809;69972;74862;61440;63167
Western Asia;Rye;26288;31605;28793;27624;28315
Western Asia;Groundnuts;37755;37996;37732;38123;38135
Western Asia;Vegetables;279871;275683;280587;283304;277794
Western Asia;Oilseeds;20097;20.986;20.260;19.758;20951
