climate;forest_type;land_use_type;region;gt_20_yrs;le_20_yrs
Warm Temperate;Plantation;Mountain System;Southern Asia;6.5;6.5
Warm Temperate;Plantation;Mountain System;Western Asia;6.5;6.5
Warm Temperate;Plantation;Mountain System;Europe;5;5
Warm Temperate;Plantation;Mountain System;Oceania;5;5
Warm Temperate;Plantation;Mountain System;North America;10;10
Warm Temperate;Plantation;Mountain System;South America;10;10
Warm Temperate;Plantation;Mountain System;Central America;10;10
Warm Temperate;Plantation;Mountain System;Caribbean;10;10
Cool Temperate;Plantation;Mountain System;Eastern Africa;3;3
Cool Temperate;Plantation;Mountain System;Central Africa;3;3
Cool Temperate;Plantation;Mountain System;Northern Africa;3;3
Cool Temperate;Plantation;Mountain System;Southern Africa;3;3
Cool Temperate;Plantation;Mountain System;Western Africa;3;3
Cool Temperate;Plantation;Mountain System;Central Asia;3;3
Cool Temperate;Plantation;Mountain System;Eastern Asia;3;3
Cool Temperate;Plantation;Mountain System;South-Eastern Asia;3;3
Cool Temperate;Plantation;Mountain System;Southern Asia;3;3
Cool Temperate;Plantation;Mountain System;Western Asia;3;3
Cool Temperate;Plantation;Mountain System;Europe;3;3
Cool Temperate;Plantation;Mountain System;Oceania;3;3
Cool Temperate;Plantation;Mountain System;North America;9;10
Cool Temperate;Plantation;Mountain System;South America;9;10
Cool Temperate;Plantation;Mountain System;Central America;9;10
Cool Temperate;Plantation;Mountain System;Caribbean;9;10
Cool Temperate;Plantation;Continental Forest;Eastern Africa;4;4
Cool Temperate;Plantation;Continental Forest;Central Africa;4;4
Cool Temperate;Plantation;Continental Forest;Northern Africa;4;4
Cool Temperate;Plantation;Continental Forest;Southern Africa;4;4
Cool Temperate;Plantation;Continental Forest;Western Africa;4;4
Cool Temperate;Plantation;Continental Forest;Central Asia;4;4
Cool Temperate;Plantation;Continental Forest;Eastern Asia;4;4
Cool Temperate;Plantation;Continental Forest;South-Eastern Asia;4;4
Cool Temperate;Plantation;Continental Forest;Southern Asia;4;4
Cool Temperate;Plantation;Continental Forest;Western Asia;4;4
Cool Temperate;Plantation;Continental Forest;Europe;4;4
Cool Temperate;Plantation;Continental Forest;Oceania;4;4
Cool Temperate;Plantation;Continental Forest;North America;4;5
Cool Temperate;Plantation;Continental Forest;South America;4;5
Cool Temperate;Plantation;Continental Forest;Central America;4;5
Cool Temperate;Plantation;Continental Forest;Caribbean;4;5
Cool Temperate;Plantation;Oceanic Forest;Eastern Africa;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;Central Africa;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;Northern Africa;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;Southern Africa;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;Western Africa;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;Central Asia;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;Eastern Asia;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;South-Eastern Asia;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;Southern Asia;4.4;4.4
