climate;moisture;region;Agroforestry - default;Alley cropping;Perennial fallow;Hedgerow;Multistrata;Parkland;Shaded Perennial;Silvoarable;Silvopasture;Olive;Orchard;Vine;Short Rotation Coppice;Oil palm;Rubber;Tea
Tropical;Wet;Southern Asia;1,89875;1,88;2;0,43;4,83;0,59;1,79;3,61;0,06;;;;;2,4;3;0,7
Tropical;Wet;Western Asia;1,89875;1,88;2;0,43;4,83;0,59;1,79;3,61;0,06;;;;;2,4;3;0,7
Tropical;Wet;Europe;2,09625;1,88;4,59;0,43;3,25;0,59;2,36;3,61;0,06;;;;;2,4;3;0,7
Tropical;Wet;Oceania;2,09625;1,88;4,59;0,43;3,25;0,59;2,36;3,61;0,06;;;;;2,4;3;0,7
Tropical;Wet;North America;2,09625;1,88;4,59;0,43;3,25;0,59;2,36;3,61;0,06;;;;;2,4;3;0,7
Tropical;Wet;South America;2,11125;1,88;4,76;0,43;2,6;0,59;2,96;3,61;0,06;;;;;2,4;3;0,7
Tropical;Wet;Central America;2,08625;1,88;4,59;0,43;3,25;0,59;2,28;3,61;0,06;;;;;2,4;3;0,7
Tropical;Wet;Caribbean;2,09625;1,88;4,59;0,43;3,25;0,59;2,36;3,61;0,06;;;;;2,4;3;0,7
Boreal;Dry;Eastern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Central Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Northern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Southern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Western Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Central Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Eastern Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;South-eastern Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Southern Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Western Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Europe;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Oceania;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;North America;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;South America;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Central America;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Dry;Caribbean;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Moist;Eastern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Moist;Central Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Moist;Northern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Moist;Southern Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Moist;Western Africa;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
Boreal;Moist;Central Asia;1,37;;;0,87;;;;0,91;2,33;0,46;0,43;0,28;3,2;;;0,7
