site_location_type;peat_type;climate;moisture;module_type;co2;ch4;doc;n2o
On-Site;Nutrient Poor;Tropical;Dry;AnnualCropping;14;7;0;5
On-Site;Nutrient Poor;Tropical;Moist;AnnualCropping;14;7;0;5
On-Site;Nutrient Poor;Tropical;Wet;AnnualCropping;14;7;0;5
On-Site;Nutrient Poor;Tropical Montane;Dry;AnnualCropping;14;7;0;5
On-Site;Nutrient Poor;Boreal;Dry;PerennialCropping;7,9;0;0;13
On-Site;Nutrient Poor;Boreal;Moist;PerennialCropping;7,9;0;0;13
On-Site;Nutrient Poor;Cool Temperate;Dry;PerennialCropping;7,9;0;0;13
On-Site;Nutrient Poor;Cool Temperate;Moist;PerennialCropping;7,9;0;0;13
On-Site;Nutrient Poor;Warm Temperate;Dry;PerennialCropping;7,9;0;0;13
On-Site;Nutrient Poor;Warm Temperate;Moist;PerennialCropping;7,9;0;0;13
On-Site;Nutrient Poor;Tropical;Dry;PerennialCropping;14;7;0;5
On-Site;Nutrient Poor;Tropical;Moist;PerennialCropping;14;7;0;5
On-Site;Nutrient Poor;Tropical;Wet;PerennialCropping;14;7;0;5
On-Site;Nutrient Poor;Tropical Montane;Dry;PerennialCropping;14;7;0;5
On-Site;Nutrient Poor;Boreal;Dry;FloodedRice;0;0;0;0
On-Site;Nutrient Poor;Boreal;Moist;FloodedRice;0;0;0;0
On-Site;Nutrient Poor;Cool Temperate;Dry;FloodedRice;0;0;0;0
On-Site;Nutrient Poor;Cool Temperate;Moist;FloodedRice;0;0;0;0
On-Site;Nutrient Poor;Warm Temperate;Dry;FloodedRice;0;0;0;0
On-Site;Nutrient Poor;Warm Temperate;Moist;FloodedRice;0;0;0;0
On-Site;Nutrient Poor;Tropical;Dry;FloodedRice;9,4;143,5;0;0,4
On-Site;Nutrient Poor;Tropical;Moist;FloodedRice;9,4;143,5;0;0,4
On-Site;Nutrient Poor;Tropical;Wet;FloodedRice;9,4;143,5;0;0,4
On-Site;Nutrient Poor;Tropical Montane;Dry;FloodedRice;9,4;143,5;0;0,4
On-Site;Nutrient Poor;Boreal;Dry;Grassland;5,7;1,4;0;9,5
On-Site;Nutrient Poor;Boreal;Moist;Grassland;5,7;1,4;0;9,5
On-Site;Nutrient Poor;Cool Temperate;Dry;Grassland;4,85;1,8;0;4,3
On-Site;Nutrient Poor;Cool Temperate;Moist;Grassland;4,85;1,8;0;4,3
On-Site;Nutrient Poor;Warm Temperate;Dry;Grassland;4,85;1,8;0;4,3
On-Site;Nutrient Poor;Warm Temperate;Moist;Grassland;4,85;1,8;0;4,3
On-Site;Nutrient Poor;Tropical;Dry;Grassland;9,6;7;0;5
On-Site;Nutrient Poor;Tropical;Moist;Grassland;9,6;7;0;5
On-Site;Nutrient Poor;Tropical;Wet;Grassland;9,6;7;0;5
On-Site;Nutrient Poor;Tropical Montane;Dry;Grassland;9,6;7;0;5
On-Site;Nutrient Poor;Boreal;Dry;Settlement;0;0;0;0
On-Site;Nutrient Poor;Boreal;Moist;Settlement;0;0;0;0
On-Site;Nutrient Poor;Cool Temperate;Dry;Settlement;0;0;0;0
On-Site;Nutrient Poor;Cool Temperate;Moist;Settlement;0;0;0;0
On-Site;Nutrient Poor;Warm Temperate;Dry;Settlement;0;0;0;0
On-Site;Nutrient Poor;Warm Temperate;Moist;Settlement;0;0;0;0
On-Site;Nutrient Poor;Tropical;Dry;Settlement;0;0;0;0
On-Site;Nutrient Poor;Tropical;Moist;Settlement;0;0;0;0
On-Site;Nutrient Poor;Tropical;Wet;Settlement;0;0;0;0
On-Site;Nutrient Poor;Tropical Montane;Dry;Settlement;0;0;0;0
