land_use_type,continent,gt_20_yrs,le_20_yrs
Planted  Tropical shrubland,Oceania,5,5
Planted  Tropical shrubland,North America,12.5,12.5
Planted  Tropical shrubland,South America,12.5,12.5
Planted  Tropical shrubland,Central America,12.5,12.5
Planted  Tropical shrubland,Caribbean,12.5,12.5
Planted Tropical mountain System,Eastern Africa,10,10
Planted Tropical mountain System,Central Africa,10,10
Planted Tropical mountain System,Northern Africa,10,10
Planted Tropical mountain System,Southern Africa,10,10
Planted Tropical mountain System,Western Africa,10,10
Planted Tropical mountain System,Central Asia,5.5,5.5
Planted Tropical mountain System,Eastern Asia,5.5,5.5
Planted Tropical mountain System,South-eastern Asia,5.5,5.5
Planted Tropical mountain System,Southern Asia,5.5,5.5
Planted Tropical mountain System,Western Asia,5.5,5.5
Planted Tropical mountain System,Europe,5,5
Planted Tropical mountain System,Oceania,5,5
Planted Tropical mountain System,North America,13,13
Planted Tropical mountain System,South America,13,13
Planted Tropical mountain System,Central America,13,13
Planted Tropical mountain System,Caribbean,13,13
Planted Subtropical humid forest,Eastern Africa,10,10
Planted Subtropical humid forest,Central Africa,10,10
Planted Subtropical humid forest,Northern Africa,10,10
Planted Subtropical humid forest,Southern Africa,10,10
Planted Subtropical humid forest,Western Africa,10,10
Planted Subtropical humid forest,Central Asia,8,8
Planted Subtropical humid forest,Eastern Asia,8,8
Planted Subtropical humid forest,South-eastern Asia,8,8
Planted Subtropical humid forest,Southern Asia,8,8
Planted Subtropical humid forest,Western Asia,8,8
Planted Subtropical humid forest,Europe,10,10
Planted Subtropical humid forest,Oceania,10,10
Planted Subtropical humid forest,North America,17.5,17.5
Planted Subtropical humid forest,South America,17.5,17.5
Planted Subtropical humid forest,Central America,17.5,17.5
Planted Subtropical humid forest,Caribbean,17.5,17.5
Planted Subtropical dry forest,Eastern Africa,8,12
Planted Subtropical dry forest,Central Africa,8,12
Planted Subtropical dry forest,Northern Africa,8,12
Planted Subtropical dry forest,Southern Africa,8,12
Planted Subtropical dry forest,Western Africa,8,12
Planted Subtropical dry forest,Central Asia,13.5,13.5
Planted Subtropical dry forest,Eastern Asia,13.5,13.5
Planted Subtropical dry forest,South-eastern Asia,13.5,13.5
Planted Subtropical dry forest,Southern Asia,13.5,13.5
Planted Subtropical dry forest,Western Asia,13.5,13.5
Planted Subtropical dry forest,Europe,8,8
Planted Subtropical dry forest,Oceania,8,8
Planted Subtropical dry forest,North America,16.5,16.5
Planted Subtropical dry forest,South America,16.5,16.5
Planted Subtropical dry forest,Central America,16.5,16.5
Planted Subtropical dry forest,Caribbean,16.5,16.5
Planted Subtropical steppe,Eastern Africa,8.25,7.75
Planted Subtropical steppe,Central Africa,8.25,7.75
Planted Subtropical steppe,Northern Africa,8.25,7.75
Planted Subtropical steppe,Southern Africa,8.25,7.75
Planted Subtropical steppe,Western Africa,8.25,7.75
Planted Subtropical steppe,Central Asia,6.5,6.5
Planted Subtropical steppe,Eastern Asia,6.5,6.5
Planted Subtropical steppe,South-eastern Asia,6.5,6.5
Planted Subtropical steppe,Southern Asia,6.5,6.5
Planted Subtropical steppe,Western Asia,6.5,6.5
Planted Subtropical steppe,Europe,5,5
Planted Subtropical steppe,Oceania,5,5
Planted Subtropical steppe,North America,12.5,12.5
Planted Subtropical steppe,South America,12.5,12.5
Planted Subtropical steppe,Central America,12.5,12.5
Planted Subtropical steppe,Caribbean,12.5,12.5
Planted Subtropical mountain System,Eastern Africa,10,10
Planted Subtropical mountain System,Central Africa,10,10
Planted Subtropical mountain System,Northern Africa,10,10
Planted Subtropical mountain System,Southern Africa,10,10
Planted Subtropical mountain System,Western Africa,10,10
