climate;region;forest_type;land_use_type;threshold;value
Cool Temperate;South America;Plantation;Desert;≤ 125;0.44
Cool Temperate;Central America;Plantation;Desert;≤ 125;0.44
Cool Temperate;Caribbean;Plantation;Desert;≤ 125;0.44
Cool Temperate;Central Africa;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Northern Africa;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Southern Africa;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Western Africa;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Central Asia;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Eastern Asia;Plantation;Steppe;≤ 125;0.44
Cool Temperate;South-Eastern Asia;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Southern Asia;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Western Asia;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Europe;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Oceania;Plantation;Steppe;≤ 125;0.44
Cool Temperate;North America;Plantation;Steppe;≤ 125;0.44
Cool Temperate;South America;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Central America;Plantation;Steppe;≤ 125;0.44
Cool Temperate;Caribbean;Plantation;Steppe;≤ 125;0.44
Boreal;Central Africa;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Northern Africa;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Southern Africa;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Western Africa;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Central Asia;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Eastern Asia;Natural;Coniferous Forest;≤ 75;0.39
Boreal;South-Eastern Asia;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Southern Asia;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Western Asia;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Europe;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Oceania;Natural;Coniferous Forest;≤ 75;0.39
Boreal;North America;Natural;Coniferous Forest;≤ 75;0.39
Boreal;South America;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Central America;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Caribbean;Natural;Coniferous Forest;≤ 75;0.39
Boreal;Central Africa;Natural;Tundra Woodland;≤ 75;0.39
Boreal;Northern Africa;Natural;Tundra Woodland;≤ 75;0.39
Boreal;Southern Africa;Natural;Tundra Woodland;≤ 75;0.39
